,Number of rooms,Area (in m2),Floor,Address,Price in USD,Price in KGS
5,2,77,5,"Бишкек, Джал-29 м-н, Тыналиева 9/1",69000,5639543
6,1,43,11,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",49500,4045759
7,2,58,9,"Бишкек, Джал-23 м-н (Нижний Джал), Джал",51500,4209224
8,1,44,6,"Бишкек, Улан м-н, Ахунбаева/Алматинка",39500,3228434
9,1,30,5,"Бишкек, Чуй - Алматинка, Чуй",31500,2574574
0,1,37,5,"Бишкек, Улан м-н, Ахунбаева/Молдокулова (Кок-Джар)",35500,2901504
1,1,40,7,"Бишкек, Военторг, Сыдыкова/Коенкозова",32000,2615440
2,3,73,8,"Бишкек, Парк Панфилова/Спартак, Логвиненко 28",79000,6456868
3,1,47,10,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",43240,3534113
4,2,71,6,"Бишкек, Асанбай м-н",78700,6432348
5,1,42.95,11,"Бишкек, Матросова, Суванбердиева 110",30000,2451975
6,2,62,11,"Бишкек, Магистраль, Магистраль/Сухэ Батора",41600,3400072
7,4,52,3,"Бишкек, Центральная мечеть",52000,4250090
8,2,82,3,"Бишкек, 7 м-н",88000,7192460
9,1,44,9,"Бишкек, Кок-Жар ж/м",38500,3146701
0,3,50,4,"Бишкек, 10 м-н",50000,4086625
1,2,67,3,"с. Кок-Джар, Алма-Атинская/Южная магистраль",55000,4495288
2,4,109,1,"Бишкек, Золотой квадрат",86700,7086208
3,2,75,3,"Бишкек, Джальская больница",70000,5721275
4,3,96,9,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",70000,5721275
5,1,54,10,"Бишкек, Магистраль, пр. Ч. Айтматова",43200,3530844
6,2,41,3,"Бишкек, Кудайберген, профсоюзная",30000,2451975
7,1,30,2,"Бишкек, Политех, ахунбаева/душанбинка",36000,2942370
8,1,30,4,"Бишкек, Юг-2 м-н, кулатова/советская",36000,2942370
9,2,66,6,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",45540,3722098
0,2,70,8,"Бишкек, АЮ Grand, Анкара 28",57000,4658753
1,2,71,10,"Бишкек, КНУ, К. Акиева/Жумабека",60000,4903950
2,3,107,11,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",72760,5946857
3,3,58,3,"Бишкек, 6 м-н",60000,4903950
4,3,163,5,"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",236350,19317476
5,1,53,10,"Бишкек, Военторг, Токтогула 141",62000,5067415
6,3,88,12,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",53000,4331823
7,2,80,12,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",73600,6015512
8,2,73,8,"Бишкек, Парк Панфилова/Спартак, Логвиненко 28",79000,6456868
9,3,75,7,"Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",78000,6375135
0,2,57,3,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",61500,5026549
